location,name,amount_of_cash_left,max_cash_capacity,avg_daily_withdrawal,transaction_count,last_week_withdrawal,emergency_refill_count,days_since_last_refill,balance_next_day
University Campus,ATM-108,37787.045060717115,40000,2577.357184226441,163,18041.500289585085,0,0,35634.800786738655
University Campus,ATM-108,35634.800786738655,40000,2128.848018260505,107,14901.936127823534,0,1,32792.60977913617
University Campus,ATM-108,32792.60977913617,40000,2413.574001905063,209,16895.01801333544,0,2,30742.905338385237
University Campus,ATM-108,30742.905338385237,40000,2211.8396555935733,149,15482.877589155014,0,3,29101.199557021682
University Campus,ATM-108,29101.199557021682,40000,2005.470906309819,220,14038.296344168732,0,4,27146.74362459459
University Campus,ATM-108,27146.74362459459,40000,2068.685663272631,144,14480.799642908416,0,5,24992.467095919696
University Campus,ATM-108,24992.467095919696,40000,2318.0947369293663,243,15007.532904080312,0,6,22831.016429975964
University Campus,ATM-108,22831.016429975964,40000,2316.1231638306244,181,14956.02863074116,0,7,20591.703163988557
University Campus,ATM-108,20591.703163988557,40000,2328.5860717041287,176,15043.097622750107,0,8,18731.66051928448
University Campus,ATM-108,18731.66051928448,40000,2223.6612150408214,187,14060.949259851694,0,9,16750.682350280098
University Campus,ATM-108,16750.682350280098,40000,2114.104532792793,190,13992.222988105146,0,10,14695.001089161296
University Campus,ATM-108,14695.001089161296,40000,2136.7507977312675,179,14406.198467860391,0,11,12440.034415373348
University Campus,ATM-108,12440.034415373348,40000,2121.4819939662216,168,14706.709209221246,0,12,10022.257156838326
University Campus,ATM-108,10022.257156838326,40000,2046.4553837652793,197,14970.209939081373,0,13,7788.221042295918
University Campus,ATM-108,7788.221042295918,40000,2105.1781653043545,180,15042.795387680047,0,14,5334.063171902781
University Campus,ATM-108,5334.063171902781,40000,2248.780668166726,173,15257.639992085778,0,15,3306.441986651371
University Campus,ATM-108,3306.441986651371,40000,2086.2956978987813,179,15425.218532633111,0,16,923.0928842906128
University Campus,ATM-108,923.0928842906128,40000,2126.403593507731,181,15827.589465989486,0,17,40000.0
University Campus,ATM-108,40000.0,40000,2318.370077863513,171,15976.963624068143,0,0,37824.120164089545
University Campus,ATM-108,37824.120164089545,40000,2225.8066691028516,169,15897.876786190647,0,1,35866.853553832836
University Campus,ATM-108,35866.853553832836,40000,2379.44182049209,167,15437.366137912333,0,2,33721.78662833939
University Campus,ATM-108,33721.78662833939,40000,2248.173760388205,176,15348.396948863376,0,3,31565.190082775003
University Campus,ATM-108,31565.190082775003,40000,2331.6613941045684,173,15050.835624034626,0,4,29297.08066520661
University Campus,ATM-108,29297.08066520661,40000,2297.3385251810655,180,15291.323856351608,0,5,26811.13656646591
University Campus,ATM-108,26811.13656646591,40000,2089.529793624385,162,15393.91885273155,0,6,24648.369189201905
University Campus,ATM-108,24648.369189201905,40000,2152.565688212418,178,15351.630810798093,0,7,21960.909067371154
University Campus,ATM-108,21960.909067371154,40000,2393.722354851182,168,15863.211096718387,0,8,19762.63061822352
University Campus,ATM-108,19762.63061822352,40000,2349.2633274890113,185,16104.222935609316,0,9,18012.71868418845
University Campus,ATM-108,18012.71868418845,40000,2106.414904286264,169,15709.06794415094,0,10,15801.419515695403
University Campus,ATM-108,15801.419515695403,40000,2178.8594260127575,186,15763.770567079599,0,11,13940.896450448137
University Campus,ATM-108,13940.896450448137,40000,2111.046779047,174,15356.184214758468,0,12,11833.371159193131
University Campus,ATM-108,11833.371159193131,40000,2284.183361696652,170,14977.765407272775,0,13,9719.966767182368
University Campus,ATM-108,9719.966767182368,40000,2098.581113573252,170,14928.402422019537,0,14,7484.967853910718
University Campus,ATM-108,7484.967853910718,40000,1921.5065506872604,191,14475.941213460439,0,15,5467.214058517133
University Campus,ATM-108,5467.214058517133,40000,1875.3512285887114,186,14295.416559706391,0,16,3432.8618854299
University Campus,ATM-108,3432.8618854299,40000,2117.4064990574047,180,14579.85679875855,0,17,1336.2610700040877
University Campus,ATM-108,1336.2610700040877,40000,2158.2983078965567,170,14465.158445691317,0,18,40000.0
University Campus,ATM-108,40000.0,40000,2212.888226628389,182,15131.004414925152,0,0,37831.79405820632
University Campus,ATM-108,37831.79405820632,40000,2205.864196218036,194,15191.685065463833,0,1,35412.202903946425
University Campus,ATM-108,35412.202903946425,40000,2161.4531842985234,176,15497.871827712966,0,2,33345.44996841513
University Campus,ATM-108,33345.44996841513,40000,2234.2566396480142,196,15329.625849972614,0,3,30695.903982881748
University Campus,ATM-108,30695.903982881748,40000,2373.1956204634594,172,15961.418040112412,0,4,28242.404346404932
University Campus,ATM-108,28242.404346404932,40000,2491.832887258743,186,16380.565503501995,0,5,25750.002724607635
University Campus,ATM-108,25750.002724607635,40000,2205.4224013401495,199,16776.36630987348,0,6,22861.64098726274
University Campus,ATM-108,22861.64098726274,40000,2483.1785303916636,183,17138.359012737266,0,7,20834.45218530093
University Campus,ATM-108,20834.45218530093,40000,2500.3978043115317,189,16997.341872905396,0,8,18587.659387238404
University Campus,ATM-108,18587.659387238404,40000,2202.0553095069777,183,16824.54351670803,0,9,16512.62701640049
University Campus,ATM-108,16512.62701640049,40000,2200.971280802401,195,16832.822952014645,0,10,13540.085461952714
University Campus,ATM-108,13540.085461952714,40000,2607.59627193185,200,17155.81852092903,0,11,10970.64562914702
University Campus,ATM-108,10970.64562914702,40000,2667.9738584765682,183,17271.75871725791,0,12,8384.606823495433
University Campus,ATM-108,8384.606823495433,40000,2629.631972336253,179,17365.395901112202,0,13,5741.114438081662
University Campus,ATM-108,5741.114438081662,40000,2695.8790750479297,187,17120.52654918108,0,14,3832.4404025746962
University Campus,ATM-108,3832.4404025746962,40000,2324.15081584983,197,17002.011782726233,0,15,1880.045830058754
University Campus,ATM-108,1880.045830058754,40000,2266.814533040507,197,16707.613557179644,0,16,40000.0
University Campus,ATM-108,40000.0,40000,2155.2461569312254,196,16704.83726620991,0,0,37725.97487923997
University Campus,ATM-108,37725.97487923997,40000,2425.3936925194043,186,16006.320832522171,0,1,35058.63968388099
University Campus,ATM-108,35058.63968388099,40000,2359.081403196456,177,16104.21619507546,0,2,33020.51456595585
University Campus,ATM-108,33020.51456595585,40000,2180.90709726566,170,15556.302507349015,0,3,30269.622565948615
University Campus,ATM-108,30269.622565948615,40000,2440.9230342634364,181,15663.702121942477,0,4,27736.46700812496
University Campus,ATM-108,27736.46700812496,40000,2132.1928103192795,185,16288.183644259167,0,5,25326.53011236202
University Campus,ATM-108,25326.53011236202,40000,2358.297277072527,177,16745.725967506165,0,6,23087.035645021664
University Campus,ATM-108,23087.035645021664,40000,2613.1331870184727,179,16912.964354978343,0,7,21030.41055740648
University Campus,ATM-108,21030.41055740648,40000,2524.344499768536,191,16695.56432183349,0,8,18984.105592519772
University Campus,ATM-108,18984.105592519772,40000,2323.847955582723,195,16074.534091361216,0,9,16533.499490801645
University Campus,ATM-108,16533.499490801645,40000,2324.523479893872,180,16487.015075154202,0,10,14111.841755764946
University Campus,ATM-108,14111.841755764946,40000,2207.8925209977806,190,16157.780810183669,0,11,11472.556778758026
University Campus,ATM-108,11472.556778758026,40000,2350.118149844002,200,16263.910229366935,0,12,8985.95264863106
University Campus,ATM-108,8985.95264863106,40000,2514.394742602669,172,16340.577463730959,0,13,6944.160723028184
University Campus,ATM-108,6944.160723028184,40000,2360.7538557724606,169,16142.874921993483,0,14,4620.548585097785
University Campus,ATM-108,4620.548585097785,40000,2466.7234137763785,186,16409.8619723087,0,15,2325.850949614928
University Campus,ATM-108,2325.850949614928,40000,2424.472074267481,185,16658.254642904845,0,16,40000.0
University Campus,ATM-108,40000.0,40000,2565.609030365065,183,17003.51087797997,0,0,37403.42656032333
University Campus,ATM-108,37403.42656032333,40000,2599.330617186914,169,17178.426582619948,0,1,35221.22007935858
University Campus,ATM-108,35221.22007935858,40000,2267.312797007236,165,16721.34808657778,0,2,32653.337445000023
University Campus,ATM-108,32653.337445000023,40000,2183.455760311836,162,16802.62659080937,0,3,29779.247348217094
University Campus,ATM-108,29779.247348217094,40000,2555.5671619607574,187,17634.92476198942,0,4,27504.7713978137
University Campus,ATM-108,27504.7713978137,40000,2377.136170790623,182,17585.788574462415,0,5,25502.92808835264
University Campus,ATM-108,25502.92808835264,40000,2498.233323456996,183,17292.93424844062,0,6,23607.3354173214
University Campus,ATM-108,23607.3354173214,40000,2236.028438161594,162,16392.664582678604,0,7,21054.925438644503
University Campus,ATM-108,21054.925438644503,40000,2525.9297021411444,178,16348.50112167883,0,8,18188.286551095363
University Campus,ATM-108,18188.286551095363,40000,2511.768165723299,177,17032.933528263216,0,9,16033.401059454136
University Campus,ATM-108,16033.401059454136,40000,2629.6151036405977,168,16619.93638554589,0,10,14019.2875327154
University Campus,ATM-108,14019.2875327154,40000,2155.614434992765,175,15759.959815501694,0,11,11824.39661424949
University Campus,ATM-108,11824.39661424949,40000,2126.431430699402,184,15680.37478356421,0,12,9763.001632700507
University Campus,ATM-108,9763.001632700507,40000,2291.6887655833966,186,15739.926455652134,0,13,7789.947039126759
University Campus,ATM-108,7789.947039126759,40000,2315.6917612568827,165,15817.38837819464,0,14,4893.298561020416
University Campus,ATM-108,4893.298561020416,40000,2415.904110914238,161,16161.626877624087,0,15,3023.6394854620244
University Campus,ATM-108,3023.6394854620244,40000,2271.472976818067,170,15164.647065633337,0,16,684.833600489852
University Campus,ATM-108,684.833600489852,40000,2238.2676537050284,157,15348.567458964282,0,17,40000.0
University Campus,ATM-108,40000.0,40000,1990.1097665445338,180,15508.509072720522,0,0,37515.79830086427
University Campus,ATM-108,37515.79830086427,40000,2191.959599333718,188,15797.819853390345,0,1,35139.540173416186
University Campus,ATM-108,35139.540173416186,40000,2135.223367556983,180,16112.682999289449,0,2,33055.9144162119
University Campus,ATM-108,33055.9144162119,40000,2423.0606113115455,159,16223.254162919988,0,3,30581.18890736696
University Campus,ATM-108,30581.18890736696,40000,2448.576857792783,187,15801.331193658585,0,4,28329.93873512973
University Campus,ATM-108,28329.93873512973,40000,2067.9863719991235,162,16182.922290337423,0,5,26090.019464949964
University Campus,ATM-108,26090.019464949964,40000,2090.3454904456366,168,16084.035675545018,0,6,23836.755689390917
University Campus,ATM-108,23836.755689390917,40000,2509.2535274058846,165,16163.244310609087,0,7,21760.53893332551
University Campus,ATM-108,21760.53893332551,40000,2142.7626182283693,172,15755.259367538758,0,8,19335.06009558946
University Campus,ATM-108,19335.06009558946,40000,2080.2987823542726,172,15804.480077826727,0,9,16509.11162272201
University Campus,ATM-108,16509.11162272201,40000,2368.1564034431117,154,16546.802793489886,0,10,13805.894659768883
University Campus,ATM-108,13805.894659768883,40000,2449.6352021417893,178,16775.294247598078,0,11,11767.101960074273
University Campus,ATM-108,11767.101960074273,40000,2158.5388810137074,168,16562.836775055457,0,12,9041.510501898969
University Campus,ATM-108,9041.510501898969,40000,2397.4610374757376,179,17048.508963050997,0,13,6313.976061103163
University Campus,ATM-108,6313.976061103163,40000,2293.1842094729727,175,17522.779628287753,0,14,3852.840450070726
University Campus,ATM-108,3852.840450070726,40000,2418.0748907573425,159,17907.698483254786,0,15,1631.7138656224097
University Campus,ATM-108,1631.7138656224097,40000,2687.5632092513047,159,17703.34622996705,0,16,40000.0
University Campus,ATM-108,40000.0,40000,2663.985433334426,172,17991.8227254831,0,0,37476.24927725157
University Campus,ATM-108,37476.24927725157,40000,2544.7463796229868,169,17812.3564852784,0,1,35145.72695774622
University Campus,ATM-108,35145.72695774622,40000,2613.1694005523377,160,18104.086105089136,0,2,32843.08893693798
University Campus,ATM-108,32843.08893693798,40000,2410.332511472984,157,17681.132667722075,0,3,30074.63293890023
University Campus,ATM-108,30074.63293890023,40000,2575.2674155397,161,17722.054224964017,0,4,27815.822955754902
University Campus,ATM-108,27815.822955754902,40000,2403.2704224256336,169,17519.728597076908,0,5,24934.656296225672
University Campus,ATM-108,24934.656296225672,40000,2656.2590877120742,162,18179.768672157825,0,6,22671.68143414657
University Campus,ATM-108,22671.68143414657,40000,2820.310080256629,175,17328.318565853435,0,7,20220.64353989251
University Campus,ATM-108,20220.64353989251,40000,2499.627239141134,155,17255.60573735906,0,8,17418.98717267061
University Campus,ATM-108,17418.98717267061,40000,2639.3635686483476,176,17726.739785075617,0,9,15265.305451337965
University Campus,ATM-108,15265.305451337965,40000,2673.866297161896,176,17577.783485600023,0,10,13183.76909494471
University Campus,ATM-108,13183.76909494471,40000,2394.6985789543965,174,16890.86384395553,0,11,10960.530526468647
University Campus,ATM-108,10960.530526468647,40000,2434.969348558664,177,16855.29242928626,0,12,8511.248585639254
University Campus,ATM-108,8511.248585639254,40000,2262.3163593297577,186,16423.407710586423,0,13,5476.264475098613
University Campus,ATM-108,5476.264475098613,40000,2557.8503803500694,189,17195.416959047958,0,14,3427.4891713481848
University Campus,ATM-108,3427.4891713481848,40000,2378.894019519643,193,16793.154368544325,0,15,1540.9946609139015
University Campus,ATM-108,1540.9946609139015,40000,2226.1119446207767,188,15877.99251175671,0,16,40000.0
University Campus,ATM-108,40000.0,40000,2385.8143801506203,169,16049.06056519957,0,0,37433.720295267325
University Campus,ATM-108,37433.720295267325,40000,2279.828107135308,183,16533.80391353899,0,1,34956.70577790647
University Campus,ATM-108,34956.70577790647,40000,2478.597400341059,169,16787.579862423783,0,2,32217.044989201706
University Campus,ATM-108,32217.044989201706,40000,2319.3475046703725,178,17077.95871029915,0,3,29716.524326393752
University Campus,ATM-108,29716.524326393752,40000,2335.5109440170017,179,16543.495262566466,0,4,27081.47651056012
University Campus,ATM-108,27081.47651056012,40000,2269.539067331368,194,17129.76777464967,0,5,24890.505883804675
University Campus,ATM-108,24890.505883804675,40000,2322.2454230012363,182,17434.24389097083,0,6,22114.069386864932
University Campus,ATM-108,22114.069386864932,40000,2610.167313452781,174,17885.930613135064,0,7,19441.28326893002
University Campus,ATM-108,19441.28326893002,40000,2699.9213172022273,173,17992.437026337302,0,8,17271.17167143465
University Campus,ATM-108,17271.17167143465,40000,2547.6211734306107,178,17685.534106471816,0,9,14214.684747488449
University Campus,ATM-108,14214.684747488449,40000,2769.027791102115,195,18002.360241713253,0,10,11188.017009799174
University Campus,ATM-108,11188.017009799174,40000,2748.5524101341716,197,18528.507316594576,0,11,8131.6811795999565
University Campus,ATM-108,8131.6811795999565,40000,2723.15946497768,187,18949.79533096016,0,12,4989.42644357569
University Campus,ATM-108,4989.42644357569,40000,2626.0059990717573,180,19901.079440228983,0,13,2865.5281330898774
University Campus,ATM-108,2865.5281330898774,40000,2628.1497616567867,181,19248.541253775053,0,14,40000.0
University Campus,ATM-108,40000.0,40000,3023.0361407974733,178,19679.90170312113,0,0,36965.81856771048
University Campus,ATM-108,36965.81856771048,40000,2769.692864477501,201,20543.971537915288,0,1,34533.55467452657
University Campus,ATM-108,34533.55467452657,40000,2782.8290243518613,177,19919.748507152995,0,2,32064.46343179212
University Campus,ATM-108,32064.46343179212,40000,2675.971585878595,204,19362.172012198167,0,3,28700.623568589726
University Campus,ATM-108,28700.623568589726,40000,2887.152663873749,183,19669.676045201348,0,4,25066.332826155554
University Campus,ATM-108,25066.332826155554,40000,3033.480283280725,182,20161.71205161125,0,5,21975.014499710967
University Campus,ATM-108,21975.014499710967,40000,2838.433259888355,170,21129.132067570026,0,6,19415.035192846684
University Campus,ATM-108,19415.035192846684,40000,2886.709724713126,186,20584.964807153316,0,7,16054.377822865255
University Campus,ATM-108,16054.377822865255,40000,3062.0414150563156,194,20911.440744845222,0,8,12244.314952306828
University Campus,ATM-108,12244.314952306828,40000,3278.7779840757867,179,22289.23972221974,0,9,9001.061707511488
University Campus,ATM-108,9001.061707511488,40000,2945.3025485964076,190,23063.40172428063,0,10,5427.786240251959
University Campus,ATM-108,5427.786240251959,40000,3237.7566612085825,196,23272.837328337766,0,11,1797.140000302873
University Campus,ATM-108,1797.140000302873,40000,3162.8569223470554,198,23269.192825852682,0,12,40000.0
University Campus,ATM-108,40000.0,40000,3163.2161432079724,198,23016.801065511514,0,0,36438.393556695555
University Campus,ATM-108,36438.393556695555,40000,3273.987285293615,202,24018.428201951676,0,1,33502.89175373149
University Campus,ATM-108,33502.89175373149,40000,3282.811683920715,211,23593.272634934314,0,2,30165.488123959225
University Campus,ATM-108,30165.488123959225,40000,3609.612648324664,206,23120.613394148157,0,3,26577.213441536624
University Campus,ATM-108,26577.213441536624,40000,3244.9981155605624,219,23465.634831775413,0,4,23603.58865357669
University Campus,ATM-108,23603.58865357669,40000,3095.885003180334,187,22865.98415247582,0,5,20063.59606465915
University Campus,ATM-108,20063.59606465915,40000,3561.5633836375728,221,22775.33050144428,0,6,17249.77436959988
University Campus,ATM-108,17249.77436959988,40000,3360.5269108082894,221,22750.22563040012,0,7,13378.336790893569
University Campus,ATM-108,13378.336790893569,40000,3553.88511376992,225,23060.056765801994,0,8,10127.304957512682
University Campus,ATM-108,10127.304957512682,40000,3243.444394952809,196,23375.586796218817,0,9,6292.033878271144
University Campus,ATM-108,6292.033878271144,40000,3626.549082211925,223,23873.454245688084,0,10,2002.1862207422391
University Campus,ATM-108,2002.1862207422391,40000,3602.075181769273,229,24575.02722079439,0,11,40000.0
University Campus,ATM-108,40000.0,40000,3516.3622834534362,213,25418.72628229671,0,0,35891.50054921846
University Campus,ATM-108,35891.50054921846,40000,3728.0388029235896,224,25987.233144160702,0,1,32456.1056863235
University Campus,ATM-108,32456.1056863235,40000,3777.004322821511,220,26608.80631199639,0,2,28612.41173170493
University Campus,ATM-108,28612.41173170493,40000,3539.3218810715207,199,26581.06268790865,0,3,24482.341146140127
University Campus,ATM-108,24482.341146140127,40000,3908.787298974518,205,27460.10144009257,0,4,20724.19510993403
University Campus,ATM-108,20724.19510993403,40000,3934.615638427806,231,27382.97639705713,0,5,15852.026601844262
University Campus,ATM-108,15852.026601844262,40000,4077.3530039786356,230,27965.297247617986,0,6,11315.82945448899
University Campus,ATM-108,11315.82945448899,40000,3806.416584760482,209,28684.170545511006,0,7,6435.5243992440965
University Campus,ATM-108,6435.5243992440965,40000,4366.017310639269,210,29455.976149974358,0,8,2587.6476680003334
University Campus,ATM-108,2587.6476680003334,40000,4170.966557223186,232,29868.45801832317,0,9,40000.0
University Campus,ATM-108,40000.0,40000,4379.327184492518,234,29840.494596666875,0,0,36676.111690014346
University Campus,ATM-108,36676.111690014346,40000,4118.70454572133,232,29034.312321087724,0,1,33295.389529033455
University Campus,ATM-108,33295.389529033455,40000,4064.0706855057406,209,28656.888445862518,0,2,29416.44641276585
University Campus,ATM-108,29416.44641276585,40000,3763.0731986356996,237,27663.66305404035,0,3,25729.68769490843
University Campus,ATM-108,25729.68769490843,40000,4099.535385147148,209,26814.22462454251,0,4,21530.870460704784
University Campus,ATM-108,21530.870460704784,40000,4001.913752313457,233,26132.736803501255,0,5,18041.685831512412
University Campus,ATM-108,18041.685831512412,40000,3936.5520801267944,245,25774.044701449864,0,6,14008.29509532187
University Campus,ATM-108,14008.29509532187,40000,3536.8518551020115,241,25991.704904678132,0,7,10986.425580787543
University Campus,ATM-108,10986.425580787543,40000,3522.059310733571,221,25689.686109226805,0,8,7242.598998176498
University Campus,ATM-108,7242.598998176498,40000,3874.4544312844732,231,26052.790530856953,0,9,2912.544591706065
University Campus,ATM-108,2912.544591706065,40000,3637.6314414132025,243,26503.901821059786,0,10,40000.0
