ATMID,Week,DayOfWeek,TimeOfDay,TransactionVolume,WeatherCondition,IsPublicHoliday,InPeakHours,AverageQueueLength,WaitTime
1,1,1,1,229,3,1,1,9.531785910894204,8.0
1,1,1,2,252,3,1,1,8.728673384861883,9.0
1,1,1,3,207,4,1,0,2.5172215514436234,4.0
1,1,1,4,138,4,1,0,3.2666768318813983,4.0
1,1,2,1,111,2,0,1,7.9591716332336295,4.0
1,1,2,2,184,3,0,1,2.1199791750292696,6.0
1,1,2,3,58,2,0,0,0.6516793960920348,2.0
1,1,2,4,224,4,0,0,2.1469642083238347,4.0
1,1,3,1,55,2,0,1,2.4754457972477937,3.0
1,1,3,2,111,2,0,1,9.303259225041044,5.0
1,1,3,3,89,2,0,0,8.52307156244244,4.0
1,1,3,4,173,4,0,0,3.121992229214162,3.0
1,1,4,1,137,1,0,1,4.251374422667912,4.0
1,1,4,2,212,4,0,1,8.006667635046455,9.0
1,1,4,3,184,4,0,0,8.575366489003093,4.0
1,1,4,4,137,2,0,0,6.826262387866218,3.0
1,1,5,1,255,3,0,1,8.564681330527797,7.0
1,1,5,2,186,3,0,1,7.25129745201498,5.0
1,1,5,3,280,4,0,0,5.016017120230062,6.0
1,1,5,4,286,3,0,0,5.628490367365894,8.0
1,1,6,1,135,3,0,1,8.864444470644948,6.0
1,1,6,2,77,4,0,1,2.575184153559919,5.0
1,1,6,3,141,3,0,0,3.8848294617312615,4.0
1,1,6,4,165,1,0,0,3.8494041351746056,3.0
1,1,7,1,86,2,0,1,7.078142312457568,4.0
1,1,7,2,282,4,0,1,4.336443625051388,5.0
1,1,7,3,179,3,0,0,7.266570604282199,6.0
1,1,7,4,51,2,0,0,4.404851626523197,2.0
2,1,1,1,221,1,1,1,4.753940063444371,7.0
2,1,1,2,87,1,1,1,3.9939397608329057,6.0
2,1,1,3,250,1,1,0,3.5474106172314905,4.0
2,1,1,4,139,3,1,0,5.364884053843169,5.0
2,1,2,1,88,4,0,1,9.398934892998978,4.0
2,1,2,2,208,3,0,1,8.83472385711932,7.0
2,1,2,3,293,1,0,0,5.531680494382061,4.0
2,1,2,4,209,1,0,0,6.514463844096046,5.0
2,1,3,1,197,3,0,1,8.927321030518614,7.0
2,1,3,2,213,4,0,1,9.036264791007254,5.0
2,1,3,3,202,3,0,0,0.5480850465390775,4.0
2,1,3,4,238,4,0,0,2.630558439875318,4.0
2,1,4,1,297,4,0,1,6.671512540948539,9.0
2,1,4,2,236,4,0,1,3.9933001290646186,5.0
2,1,4,3,100,1,0,0,8.974442274182577,5.0
2,1,4,4,160,4,0,0,5.178918091279207,4.0
2,1,5,1,241,3,0,1,6.631986811118094,8.0
2,1,5,2,55,1,0,1,4.016507652426721,4.0
2,1,5,3,144,1,0,0,9.654389782347902,5.0
2,1,5,4,210,3,0,0,3.510759048984638,5.0
2,1,6,1,116,2,0,1,5.915581115848967,4.0
2,1,6,2,283,3,0,1,8.835044183315576,9.0
2,1,6,3,88,4,0,0,3.289122520512687,4.0
2,1,6,4,109,1,0,0,5.357752789178909,4.0
2,1,7,1,287,4,0,1,8.06003035964296,8.0
2,1,7,2,81,2,0,1,5.993661339463653,3.0
2,1,7,3,107,2,0,0,0.7897523744209696,2.0
2,1,7,4,57,1,0,0,7.8149387544368025,3.0
3,1,1,1,273,1,1,1,5.547868999897406,9.0
3,1,1,2,155,4,1,1,3.5680864929418368,6.0
3,1,1,3,267,1,1,0,9.645159939440289,8.0
3,1,1,4,288,1,1,0,2.8773075325636555,8.0
3,1,2,1,238,4,0,1,7.510020708609801,8.0
3,1,2,2,203,4,0,1,3.881740447186985,5.0
3,1,2,3,96,1,0,0,0.8869236220302164,3.0
3,1,2,4,139,2,0,0,5.1703508136099074,3.0
3,1,3,1,118,2,0,1,8.923463679331451,4.0
3,1,3,2,118,4,0,1,6.997655809282341,7.0
3,1,3,3,177,4,0,0,6.545834175737107,6.0
3,1,3,4,210,1,0,0,8.206439678992028,6.0
3,1,4,1,123,4,0,1,2.463501418829081,4.0
3,1,4,2,292,1,0,1,6.373411901209982,8.0
3,1,4,3,139,2,0,0,3.73593340991028,3.0
3,1,4,4,206,3,0,0,0.8722701034186394,6.0
3,1,5,1,250,1,0,1,5.900942695624604,8.0
3,1,5,2,280,1,0,1,6.015168117267144,8.0
3,1,5,3,62,3,0,0,7.529133224250058,3.0
3,1,5,4,161,4,0,0,4.201371819082433,3.0
3,1,6,1,282,1,0,1,8.547859868908104,10.0
3,1,6,2,132,4,0,1,5.183743748832147,4.0
3,1,6,3,172,4,0,0,2.520915002730175,5.0
3,1,6,4,91,1,0,0,9.755357981076896,4.0
3,1,7,1,284,1,0,1,7.205399096847598,10.0
3,1,7,2,279,1,0,1,1.2990146580924757,5.0
3,1,7,3,115,2,0,0,1.2728134160980478,3.0
3,1,7,4,194,4,0,0,9.498861485146657,6.0
1,2,1,1,68,3,0,1,7.882895701310649,5.0
1,2,1,2,175,3,0,1,5.179938490763162,5.0
1,2,1,3,249,4,0,0,1.6164993443824964,6.0
1,2,1,4,112,2,0,0,5.038291463362163,3.0
1,2,2,1,209,1,0,1,5.782047867104553,5.0
1,2,2,2,278,4,0,1,2.9034065958977906,5.0
1,2,2,3,63,1,0,0,3.2976924949745836,3.0
1,2,2,4,234,3,0,0,9.194916245856511,5.0
1,2,3,1,205,4,0,1,3.6887706155711504,6.0
1,2,3,2,227,4,0,1,3.02641028716027,5.0
1,2,3,3,194,3,0,0,3.157753318104984,5.0
1,2,3,4,95,1,0,0,1.2239036061920499,3.0
1,2,4,1,243,1,0,1,1.2861099903354083,7.0
1,2,4,2,82,4,0,1,7.887221695484643,6.0
1,2,4,3,112,2,0,0,4.233399765299161,3.0
1,2,4,4,178,3,0,0,0.6298836658564742,4.0
1,2,5,1,151,1,0,1,9.175074646447607,7.0
1,2,5,2,194,3,0,1,2.7903059071315024,4.0
1,2,5,3,239,4,0,0,8.843096341052327,4.0
1,2,5,4,203,3,0,0,5.232569273135983,6.0
1,2,6,1,103,1,0,1,9.69575077167832,5.0
1,2,6,2,96,3,0,1,4.495089897318213,6.0
1,2,6,3,215,3,0,0,6.364005264924274,6.0
1,2,6,4,140,3,0,0,1.3645198649876376,4.0
1,2,7,1,79,3,0,1,6.409823652164798,6.0
1,2,7,2,194,4,0,1,5.175104784255613,6.0
1,2,7,3,243,1,0,0,3.623140297731328,4.0
1,2,7,4,200,1,0,0,1.7164354700988382,3.0
2,2,1,1,181,4,0,1,3.7838391915767007,7.0
2,2,1,2,110,2,0,1,2.3267456786823724,3.0
2,2,1,3,119,1,0,0,1.6460407754557078,3.0
2,2,1,4,139,2,0,0,7.058750871978971,3.0
2,2,2,1,112,2,0,1,4.084216669799689,4.0
2,2,2,2,256,4,0,1,5.597611136879659,7.0
2,2,2,3,137,2,0,0,7.344902583218916,3.0
2,2,2,4,287,3,0,0,7.62135420408158,7.0
2,2,3,1,64,3,0,1,1.4962570820585686,4.0
2,2,3,2,280,1,0,1,1.3474411227645338,6.0
2,2,3,3,117,1,0,0,3.873490881153395,4.0
2,2,3,4,83,2,0,0,5.798551526529155,3.0
2,2,4,1,75,4,0,1,6.271774611788942,4.0
2,2,4,2,82,1,0,1,0.57157644977371,3.0
2,2,4,3,124,2,0,0,1.3349324331313668,2.0
2,2,4,4,89,3,0,0,7.121133892481005,5.0
2,2,5,1,53,3,0,1,0.5503500607772515,5.0
2,2,5,2,106,2,0,1,7.325344072947259,4.0
2,2,5,3,117,2,0,0,4.541646166855959,3.0
2,2,5,4,87,4,0,0,6.021763103514816,3.0
2,2,6,1,183,1,0,1,3.6977406428422457,4.0
2,2,6,2,217,1,0,1,8.193807235619031,7.0
2,2,6,3,192,3,0,0,4.979973791226504,4.0
2,2,6,4,109,2,0,0,9.66775565133187,3.0
2,2,7,1,50,3,0,1,7.540646168255561,5.0
2,2,7,2,278,1,0,1,2.415459540453573,5.0
2,2,7,3,127,3,0,0,5.469121535306634,4.0
2,2,7,4,121,4,0,0,4.671781631417075,3.0
3,2,1,1,112,3,0,1,5.275843705878552,5.0
3,2,1,2,102,2,0,1,9.111485054163197,4.0
3,2,1,3,91,4,0,0,1.823084690302179,3.0
3,2,1,4,204,3,0,0,7.991673506633042,4.0
3,2,2,1,82,3,0,1,0.8185581299899041,5.0
3,2,2,2,167,1,0,1,8.301944394384122,6.0
3,2,2,3,64,4,0,0,8.074305974905759,3.0
3,2,2,4,76,2,0,0,6.590902512410325,3.0
3,2,3,1,123,3,0,1,3.7539804431961623,4.0
3,2,3,2,189,3,0,1,9.162597884008164,5.0
3,2,3,3,109,4,0,0,6.1331475999588045,4.0
3,2,3,4,121,1,0,0,6.687988504388338,4.0
3,2,4,1,78,3,0,1,1.4903461774921902,5.0
3,2,4,2,198,1,0,1,2.072444848489253,6.0
3,2,4,3,104,2,0,0,2.66025839833257,2.0
3,2,4,4,166,1,0,0,6.235354551436321,4.0
3,2,5,1,51,2,0,1,4.924151162028726,4.0
3,2,5,2,228,3,0,1,2.858151206192943,5.0
3,2,5,3,226,1,0,0,7.914709221687833,4.0
3,2,5,4,248,1,0,0,9.767642498986184,7.0
3,2,6,1,238,3,0,1,2.252397278479133,5.0
3,2,6,2,172,3,0,1,8.097929209705558,6.0
3,2,6,3,79,1,0,0,8.447365726277162,4.0
3,2,6,4,115,2,0,0,5.577330966943846,3.0
3,2,7,1,206,4,0,1,1.2172819561369477,6.0
3,2,7,2,146,2,0,1,0.7411703787732762,4.0
3,2,7,3,116,3,0,0,2.6952105675866784,3.0
3,2,7,4,278,3,0,0,2.1961742895161693,4.0
1,3,1,1,137,4,0,1,7.361535852628762,7.0
1,3,1,2,231,1,0,1,2.447350806450299,7.0
1,3,1,3,210,3,0,0,2.4749194238872594,3.0
1,3,1,4,131,4,0,0,8.980381255231261,4.0
1,3,2,1,116,2,0,1,6.107801953890673,4.0
1,3,2,2,102,2,0,1,3.297424715648218,6.0
1,3,2,3,108,4,0,0,8.998246155493868,4.0
1,3,2,4,58,2,0,0,5.645525039278236,3.0
1,3,3,1,203,4,0,1,5.494056731875515,5.0
1,3,3,2,134,2,0,1,8.243017069823342,4.0
1,3,3,3,136,4,0,0,1.5124979362224065,3.0
1,3,3,4,217,3,0,0,2.881941275335179,5.0
1,3,4,1,203,1,0,1,4.3416242647157315,6.0
1,3,4,2,114,2,0,1,1.2865873452887016,4.0
1,3,4,3,213,4,0,0,7.330936099250332,5.0
1,3,4,4,201,3,0,0,9.399882523585202,4.0
