id,TransactionFrequency,IncomingTransactionAmount,OutgoingTransactionAmount,MaxIncomingAmount,MaxOutgoingAmount,UniqueRecipients,TransactionTime,JustBelowThreshold,IsSuspicious,TransactionDate
7,4,427.4717681999367,129.0683486440065,1442.5313075201166,1391.3182063602985,4,1,1,0,2024-01-18 15:00:00
4,3,151.37948723727655,130.83120478058427,1246.776639533718,963.8142497276799,4,0,1,0,2024-01-27 05:00:00
11,2,213.33717930623266,236.15203706666995,1220.5655486444061,820.0273165623919,1,0,1,0,2024-01-10 08:00:00
8,2,107.37108749528699,446.5546057005368,1326.4880901957624,976.4612712393996,4,0,1,0,2024-01-06 18:00:00
5,4,272.89631355700493,186.21194751653275,946.2012209775437,818.3040946923473,1,0,1,0,2024-01-20 09:00:00
7,4,436.0486010964875,244.15112797213902,1305.844532617833,989.03577530762,4,0,1,0,2024-01-13 12:00:00
10,13,1522.5728202618095,5220.565025877032,4403.5487123229705,3858.504182751545,11,1,1,1,2024-01-21 17:00:00
3,4,171.79892936953337,405.2621165035558,1424.561055376805,1092.3013710620958,2,0,1,0,2024-01-15 07:00:00
7,3,401.4795336202077,263.3225371037804,943.3065095171753,1194.6537728101753,4,0,1,0,2024-01-30 19:00:00
11,2,415.5227927482977,403.6994932243371,1053.3801878657478,864.6706762343365,2,1,1,0,2024-01-15 01:00:00
11,2,169.50139012302674,461.443137738718,754.8822489148823,1238.5058785105189,4,1,1,0,2024-01-17 20:00:00
8,1,408.3416434163959,193.1052588405155,1242.5308328404215,1166.6170848793722,4,0,1,0,2024-01-18 14:00:00
5,2,478.9191553025352,422.95841213598055,576.6358064752488,619.5619977520564,3,0,1,0,2024-01-05 19:00:00
4,4,166.55103477290893,123.6375560313013,1372.6358025468353,1072.6428531155846,1,0,1,0,2024-01-16 02:00:00
8,2,408.3937170128542,459.5389552720989,1328.1168290063429,756.743496309758,2,0,1,0,2024-01-01 18:00:00
8,3,383.4288018410517,360.30741902349894,716.0601162447664,1304.095669633593,2,1,1,0,2024-01-22 23:00:00
3,2,289.42955537403543,449.69068965534063,1309.3243982852623,925.9377084669395,2,0,1,0,2024-01-12 22:00:00
6,1,123.16818422351932,100.07535982263276,1286.3577330614814,1494.6841651964871,1,0,1,0,2024-01-13 21:00:00
5,2,129.8777671031416,167.632428142397,1132.216597753949,592.5004379389638,3,1,1,0,2024-01-27 07:00:00
2,14,1781.2569537828522,1149.2680126692474,4246.018852956437,5604.370183174429,8,1,1,1,2024-01-20 00:00:00
8,3,496.0593491002588,251.80116134988742,771.4987541818679,1173.7017335421565,1,1,1,0,2024-01-26 17:00:00
12,19,5711.932800952194,1455.5016952192202,4031.0135795088945,5983.614950531086,14,1,1,1,2024-02-08 11:00:00
6,2,278.3833228041286,252.64477594688003,818.6089627636072,807.5297954904563,2,0,1,0,2024-02-05 21:00:00
2,11,1781.2569537828522,1149.2680126692474,4709.328008811752,7181.921178156128,6,1,1,1,2024-01-08 22:00:00
12,24,5711.932800952194,3154.123093496851,7382.802453943587,4686.010175844764,13,1,1,1,2024-01-31 22:00:00
5,4,253.44490416224872,420.9417316637057,1328.8712762529585,732.541331620855,2,1,1,0,2024-01-26 04:00:00
1,1,126.25045782960518,291.6280252413405,848.8900750418236,726.033196788652,2,0,1,0,2024-01-10 07:00:00
12,10,5711.932800952194,3154.123093496851,3791.4312802954905,4312.54302133272,13,1,1,1,2024-01-06 02:00:00
10,17,1522.5728202618095,1022.5043274286865,7996.581340948564,6268.822515466181,9,1,1,1,2024-01-16 05:00:00
6,2,427.5142573428375,110.87000643633766,1384.3765470229714,782.2624704129328,1,0,1,0,2024-01-02 16:00:00
12,22,1933.678906132935,1455.5016952192202,5278.30410776546,3609.446060401795,9,1,1,1,2024-01-25 12:00:00
9,3,100.41179193825336,150.9815837691476,961.8434812751103,777.8451632065655,4,0,1,0,2024-01-24 19:00:00
1,4,163.5753133107026,383.0753305322475,914.5160648167923,1271.5120619984878,1,1,1,0,2024-01-15 17:00:00
11,1,287.4157667074337,489.11052915683433,513.2510335039105,1151.9008655624607,4,0,1,0,2024-02-09 15:00:00
11,4,477.72145398313194,430.41562066662874,795.9428888586566,1332.4171834102526,1,0,1,0,2024-01-03 15:00:00
10,12,1522.5728202618095,1022.5043274286865,4340.057502597987,3127.3634586755356,13,1,1,1,2024-01-30 14:00:00
12,14,5711.932800952194,3154.123093496851,6028.496202299379,5548.785334504357,7,1,1,1,2024-01-10 21:00:00
12,22,1933.678906132935,1455.5016952192202,6459.319540804222,5926.304377549232,6,1,1,1,2024-01-28 19:00:00
3,1,430.36830631995866,348.53779890141186,884.8036172211032,548.0923104120354,3,0,1,0,2024-01-09 20:00:00
12,10,5711.932800952194,3154.123093496851,4915.346848632534,4796.694952578936,12,1,1,1,2024-01-20 11:00:00
7,2,435.97886586898875,351.2952441853125,929.6085921323634,1432.5445893524509,3,0,1,0,2024-02-10 02:00:00
4,4,409.1291120067218,313.070354704622,1240.6261488943705,1023.2130549708749,2,0,1,0,2024-01-09 17:00:00
9,2,192.02147321257357,354.0356423638875,1362.9723989869626,771.7865160801291,3,1,1,0,2024-02-05 09:00:00
3,1,152.53405056375124,279.93688318902366,1031.8890790075143,899.1667945110196,1,0,1,0,2024-01-29 02:00:00
5,2,447.22172901291714,187.37727315332285,1289.4321941951912,1098.5951074046707,1,0,1,0,2024-01-07 18:00:00
3,3,485.2946613760528,148.09889060467026,796.7866820198506,1152.949658137842,3,0,1,0,2024-01-19 04:00:00
7,3,112.5209254990065,127.33637421290416,1041.3696101572687,653.919509782905,2,0,1,0,2024-01-04 02:00:00
